customer_id,age,country,customer_segment,kyc_source,primary_device,income_annual_eur,account_age_days,logins_30d,avg_session_min,txn_cnt_30d,avg_txn_amount_eur,cash_in_ratio,cross_border_ratio,failed_txn_rate,support_tickets_90d,chargeback_cnt_90d,disputes_open,pep_flag,sanction_screen_hit,aml_alerts_180d,card_user,fx_trading_user,crypto_user,risk_tier,next_30d_net_revenue_eur
20,41,NL,Retail,InApp,Android,43415.0,843,12,7.8,29,39.99,0.152,0.152,0.027,0,1,0,0,0,0,0,0,0,Low,4.49
21,44,NL,Retail,InApp,,50291.0,1358,4,5.85,17,30.06,0.283,0.669,0.001,0,0,0,0,0,0,1,0,0,Low,5.42
22,37,FR,Retail,InApp,Android,17477.0,330,7,11.42,17,23.34,0.39,0.273,0.056,0,0,0,0,0,2,1,0,0,Medium,-13.51
23,27,DE,Retail,Partner,Android,37007.0,930,8,12.94,13,92.15,0.151,0.04,0.046,2,0,0,0,0,0,1,1,1,Low,20.46
24,66,FR,Retail,InApp,Android,55890.0,1100,8,3.17,13,23.33,0.375,0.025,0.044,1,0,0,0,0,0,0,0,0,Low,-13.15
25,58,IT,Retail,,Web,40335.0,940,8,,20,10.53,0.339,0.494,0.046,2,1,1,0,0,0,1,0,0,Medium,-12.81
26,51,NL,Retail,InApp,iOS,,977,8,5.85,15,3.73,0.433,0.145,0.027,0,0,0,0,0,0,0,1,0,Low,12.89
27,38,IT,SME,Web,Web,72501.0,1090,20,6.81,23,120.27,0.295,0.181,0.179,1,0,0,0,0,0,1,0,0,Low,-28.92
28,60,IT,Retail,InApp,Web,24880.0,355,7,6.3,17,17.44,0.65,0.066,0.1,1,0,1,0,0,0,0,0,0,Medium,-43.45
29,46,ES,Retail,Web,Android,61730.0,158,8,7.04,27,29.83,0.122,0.141,0.088,2,0,0,0,0,0,1,0,0,Low,-10.08
30,41,FR,Retail,InApp,iOS,58340.0,1484,10,9.46,17,61.0,0.712,0.155,0.14,0,0,0,0,0,0,1,0,0,Medium,-31.43
31,41,FR,Retail,InApp,Android,38397.0,484,13,6.56,20,56.11,0.29,0.084,0.013,0,0,0,0,0,0,1,0,0,Low,11.85
32,29,FR,Retail,InApp,Android,41474.0,1423,5,6.2,16,23.8,0.39,0.491,0.042,0,0,0,0,0,1,0,0,0,Medium,-8.56
33,22,UK,Retail,InApp,iOS,41417.0,407,10,7.14,23,33.96,0.366,,0.153,1,0,0,0,0,0,1,0,0,Low,-40.64
34,46,NL,Retail,InApp,iOS,44911.0,403,7,8.2,17,16.59,0.189,0.018,0.042,1,0,0,0,0,0,1,0,0,Low,-8.11
35,64,IT,Retail,InApp,iOS,32487.0,44,6,7.79,19,29.95,0.498,0.261,0.043,0,0,0,0,0,0,0,1,0,Low,40.89
36,21,FR,Enterprise,Partner,Android,35150.0,666,19,8.42,47,128.71,0.375,0.137,0.144,1,0,0,0,0,0,1,0,0,Low,12.58
37,62,ES,Retail,InApp,Android,36316.0,1417,13,7.36,14,13.85,0.13,,0.047,3,0,1,0,0,1,0,0,0,Medium,-18.38
38,61,DE,SME,InApp,,36827.0,1342,12,5.75,27,52.44,0.754,0.205,0.104,3,1,0,0,0,0,1,1,1,Medium,18.65
39,32,NL,Retail,Web,Android,37028.0,461,10,,17,16.4,0.551,0.211,0.076,0,0,0,0,0,0,1,0,0,Low,-18.69
40,50,BE,Retail,Web,Android,8000.0,613,7,2.82,13,21.29,0.035,0.154,0.07,0,0,0,0,0,0,1,0,0,Low,-6.85
41,26,BE,SME,InApp,Web,43562.0,1006,15,9.17,25,46.62,0.513,0.064,0.106,0,0,0,0,0,0,1,1,1,Medium,8.24
42,57,BE,Retail,InApp,iOS,33561.0,1432,9,10.17,22,64.87,0.253,0.112,0.06,1,0,1,0,0,1,1,0,0,Medium,-3.78
43,54,DE,Retail,InApp,iOS,12131.0,908,13,4.23,17,35.55,0.399,0.024,0.014,1,0,0,0,0,0,1,0,0,Low,1.42
44,36,DE,Enterprise,InApp,iOS,,306,18,10.27,32,181.79,0.468,0.336,0.141,2,0,1,0,0,1,1,0,0,High,-19.0
45,21,FR,Retail,InApp,,35905.0,538,12,11.87,19,27.33,0.087,0.239,0.014,1,0,0,0,0,0,1,0,0,Low,13.16
46,68,DE,Retail,Web,iOS,62404.0,1087,9,4.89,17,48.53,0.424,0.097,0.007,1,0,0,0,0,0,1,0,0,Low,5.19
47,41,IT,Retail,Web,iOS,33372.0,42,13,8.29,7,6.77,0.112,0.323,0.222,3,0,0,0,0,0,1,0,0,Medium,-50.0
48,64,NL,Retail,InApp,Android,52685.0,902,9,6.34,14,13.06,0.255,,0.052,0,1,0,0,0,0,1,1,0,Medium,-5.53
49,53,DE,Retail,InApp,Android,64125.0,1155,10,6.97,18,34.11,0.606,0.66,0.037,0,0,0,0,0,0,1,0,0,Low,-5.83
50,58,DE,Retail,InApp,iOS,31951.0,523,6,5.9,23,10.65,0.222,0.043,0.081,2,1,0,0,0,1,0,0,0,High,-47.98
51,57,FR,SME,InApp,iOS,41240.0,811,9,3.77,17,124.1,0.561,0.185,0.102,0,0,0,0,0,0,1,1,0,Low,20.55
52,28,BE,Retail,InApp,iOS,69659.0,1078,9,11.76,18,50.25,0.757,0.118,0.045,2,1,1,0,0,0,0,1,0,High,-5.83
53,36,FR,Retail,Web,iOS,,895,12,7.31,11,18.01,0.365,0.161,0.086,2,1,1,0,0,0,0,0,0,High,-50.0
54,42,IT,Retail,InApp,iOS,,43,7,7.83,13,22.05,0.108,0.131,0.032,0,0,0,0,0,0,1,0,0,Low,14.81
55,43,DE,Retail,Partner,iOS,35484.0,881,10,9.6,19,22.89,0.4,0.115,0.058,2,0,0,0,0,0,0,0,1,Low,-10.05
56,20,UK,SME,InApp,iOS,52993.0,351,12,9.07,35,244.11,0.096,,0.04,0,0,0,0,0,0,1,1,0,Low,116.77
57,46,NL,Retail,InApp,Web,41366.0,1111,9,6.02,15,47.16,0.249,0.424,0.144,1,1,1,0,0,2,1,0,0,High,-50.0
58,26,DE,Retail,InApp,Web,12686.0,397,8,6.11,16,22.8,0.179,0.129,0.015,0,0,0,0,0,0,0,0,0,Low,8.66
59,56,BE,SME,Web,iOS,36316.0,1467,14,6.73,28,46.92,0.575,0.311,0.032,1,0,0,0,0,0,1,0,0,Low,14.17
60,53,NL,SME,InApp,Android,23069.0,182,13,10.69,30,141.59,0.256,0.443,0.13,2,0,0,0,0,0,1,0,0,Low,-6.43
61,65,FR,SME,InApp,iOS,43796.0,1336,10,6.27,18,117.39,0.528,0.059,0.259,1,0,0,0,0,0,1,0,0,Low,-50.0
62,56,UK,Retail,InApp,Android,27331.0,57,6,5.78,20,27.23,0.298,0.244,0.016,2,0,0,1,0,1,1,0,1,Medium,0.21
63,37,UK,Retail,Web,Web,,1026,9,5.77,18,45.83,0.409,0.004,0.18,0,0,0,0,0,1,0,0,0,Medium,-50.0
64,68,BE,Retail,Partner,Android,42716.0,533,7,7.62,17,24.05,0.346,0.306,0.036,0,0,0,0,0,0,0,0,0,Low,-3.1
65,39,FR,Retail,InApp,Android,22032.0,298,6,8.49,13,9.47,0.529,0.601,0.051,2,0,0,0,0,1,1,0,0,Low,-14.84
66,34,DE,SME,InApp,iOS,,332,13,15.55,33,60.28,0.419,0.206,0.001,0,2,0,0,0,0,1,0,1,Medium,26.09
67,65,NL,Retail,InApp,iOS,,64,8,,16,11.54,0.362,0.514,0.117,1,0,0,0,0,0,0,0,0,Low,-41.45
68,37,NL,Retail,InApp,Android,60368.0,205,8,4.18,20,10.98,0.383,0.202,0.109,4,0,0,0,0,1,1,0,0,Medium,-44.41
69,21,UK,SME,Partner,iOS,27561.0,592,13,12.18,28,128.53,0.239,,0.193,1,0,0,0,0,0,1,0,0,Low,-28.98
70,42,IT,Enterprise,InApp,Android,24441.0,241,18,0.9,46,157.12,0.195,0.499,0.083,3,0,1,0,0,0,1,0,0,Medium,28.77
71,59,NL,Retail,Web,Android,73216.0,1452,17,10.43,19,8.61,0.455,0.282,0.063,1,0,0,1,0,1,1,0,1,Medium,-16.87
72,27,FR,SME,Partner,iOS,41844.0,1240,18,5.32,29,67.44,0.144,0.083,0.21,1,0,0,0,0,1,1,0,0,Medium,-42.97
73,42,UK,Retail,Web,Android,43464.0,712,12,7.08,14,20.04,0.149,0.15,0.083,1,0,0,0,0,0,1,1,0,Medium,0.17
74,24,ES,Retail,InApp,Android,,148,7,7.06,22,13.41,0.775,0.148,0.083,1,0,0,0,0,0,1,1,0,Low,20.2
75,53,FR,Retail,Web,Android,45444.0,1479,10,11.93,16,62.1,0.252,0.409,0.075,0,1,1,1,0,3,0,0,0,High,-37.22
76,42,FR,Enterprise,InApp,Android,69442.0,1089,17,6.46,40,120.83,0.74,0.114,0.022,1,0,0,0,0,0,0,1,0,Low,74.62
77,35,UK,SME,InApp,Android,46070.0,280,13,9.93,25,14.81,0.353,0.091,0.16,1,0,0,0,0,0,1,0,0,Low,-29.35
78,29,ES,Retail,Partner,iOS,,87,10,6.13,20,33.91,0.088,0.006,0.1,3,0,1,0,0,0,1,0,1,High,-43.95
79,47,NL,Retail,InApp,Android,,932,11,5.15,18,15.61,0.272,0.028,0.032,0,1,0,0,0,0,1,0,0,Medium,-9.81
80,52,IT,Retail,InApp,iOS,25587.0,67,7,,20,40.36,0.388,0.525,0.016,1,0,0,0,0,0,1,1,0,Low,106.27
81,66,NL,Retail,InApp,iOS,31068.0,924,14,6.12,11,33.09,0.318,0.479,0.064,0,1,0,0,0,1,1,1,1,High,23.06
82,40,ES,SME,InApp,Web,,667,12,3.56,19,26.0,0.264,0.058,,1,0,0,0,0,0,0,0,1,Low,-34.59
83,26,NL,Retail,Web,iOS,45485.0,1321,6,6.63,19,26.15,0.587,0.184,0.035,1,0,0,0,0,0,1,0,0,Low,-4.28
84,61,NL,SME,Web,iOS,61582.0,577,17,11.48,28,27.63,0.435,0.058,0.008,2,2,0,0,0,0,1,0,0,Low,-6.34
85,50,NL,Retail,Web,iOS,44576.0,675,11,9.74,19,24.86,0.498,0.329,0.077,0,1,0,0,0,0,1,1,0,Medium,24.0
86,54,BE,Retail,InApp,Web,37075.0,821,6,7.38,8,33.75,0.326,0.09,0.035,1,0,0,0,0,1,0,1,0,Medium,-5.22
87,23,DE,Retail,InApp,Web,29366.0,1474,9,8.68,17,31.0,0.304,0.533,0.228,1,2,0,0,0,0,0,0,0,Medium,-50.0
88,34,NL,Enterprise,InApp,iOS,47687.0,1056,13,,51,290.69,0.586,0.244,0.099,3,0,0,0,0,0,1,0,0,Low,75.88
89,57,BE,Retail,InApp,Android,22190.0,1006,14,7.74,15,21.11,0.462,0.379,0.052,0,0,0,0,0,0,1,1,0,Low,57.24
90,61,BE,Retail,Web,iOS,23854.0,469,4,8.61,18,41.21,0.24,0.266,0.103,0,0,0,0,0,2,1,0,0,Medium,-22.51
91,40,UK,Retail,Web,Android,56403.0,728,14,3.47,20,40.45,0.279,0.393,0.001,0,1,0,0,0,0,1,0,0,Medium,3.0
92,59,IT,SME,Web,Android,37556.0,297,5,8.94,32,36.86,0.326,0.249,0.084,1,0,0,0,0,1,1,1,0,Medium,57.16
93,61,UK,SME,Web,iOS,37241.0,591,7,8.89,28,22.6,0.347,,0.197,0,0,0,0,0,0,0,1,0,Low,-32.76
94,38,NL,SME,InApp,Android,39295.0,1234,10,5.52,30,76.76,0.265,0.146,0.117,2,0,1,0,0,1,1,0,0,High,-38.76
95,64,DE,Retail,Web,Web,53614.0,155,7,5.96,14,33.13,0.389,0.398,,1,0,0,0,0,0,0,1,0,Low,38.88
96,32,IT,SME,Web,iOS,44648.0,253,15,10.42,30,72.03,0.593,0.025,0.114,2,0,0,0,0,0,1,0,0,Low,-12.11
97,30,NL,Retail,Partner,iOS,30111.0,881,12,10.93,14,35.0,0.336,0.067,0.087,2,1,0,0,0,0,0,1,0,Medium,-25.92
98,53,BE,Retail,InApp,Web,30687.0,1199,14,6.34,23,34.13,0.623,0.042,0.215,2,0,0,0,0,0,1,0,0,Low,-50.0
99,51,IT,Retail,Web,iOS,38878.0,1462,7,9.39,14,11.93,0.2,0.221,0.07,2,0,1,0,0,0,1,1,0,Low,1.86
100,25,IT,Retail,InApp,Android,46836.0,883,8,12.0,17,62.26,0.787,0.473,0.079,1,0,0,0,0,1,1,0,1,Medium,-11.87
101,61,BE,Enterprise,Web,,41432.0,987,14,,38,19.37,0.582,0.613,0.088,1,1,0,0,0,1,1,0,1,High,-37.31
102,28,UK,Enterprise,Partner,iOS,,439,17,,33,85.31,0.587,0.161,0.042,1,0,0,0,0,1,1,0,0,Medium,15.12
103,59,BE,Retail,Partner,iOS,42741.0,618,4,6.1,14,64.27,0.116,0.055,0.051,0,0,0,0,0,0,1,0,0,Low,0.53
104,18,UK,Retail,InApp,iOS,41420.0,476,6,3.11,19,52.47,0.542,0.168,0.003,1,0,0,0,0,0,1,0,0,Low,13.88
105,59,NL,SME,InApp,,29514.0,169,8,11.26,38,73.35,0.048,0.14,0.086,3,0,1,0,0,0,1,0,0,Medium,2.01
106,58,NL,Enterprise,Web,Android,59713.0,560,11,13.64,56,244.81,0.7,0.469,0.059,0,1,0,0,0,0,1,0,0,Low,62.43
107,58,FR,Retail,Web,Android,34283.0,331,6,8.69,15,10.71,0.388,0.163,0.014,0,0,0,0,0,0,1,0,0,Low,0.28
108,52,DE,Retail,Partner,iOS,,889,6,4.86,16,28.27,0.565,0.249,0.043,1,2,0,0,0,0,1,0,0,Medium,-17.5
109,42,UK,Retail,,Android,9035.0,1132,14,10.19,13,13.05,0.147,0.077,0.068,0,0,0,0,0,1,1,0,1,Medium,-18.68
110,54,DE,SME,Web,iOS,38557.0,1469,18,4.85,24,165.84,0.073,0.608,0.167,0,0,0,0,0,0,1,1,0,Medium,98.45
111,32,ES,Retail,Web,iOS,24407.0,1321,5,13.21,18,31.06,0.506,0.004,0.04,2,0,0,0,0,0,0,0,0,Low,1.04
112,58,ES,Retail,,Android,26336.0,482,12,5.06,20,21.38,0.571,0.339,0.027,0,0,0,0,0,0,0,1,0,Low,62.17
113,46,BE,Retail,InApp,iOS,80755.0,1408,6,8.01,17,52.46,0.611,0.036,0.083,1,0,0,0,0,0,0,0,0,Low,-20.99
114,41,UK,Retail,Web,Android,45992.0,1413,13,10.21,19,29.43,0.325,0.176,0.096,1,0,0,0,0,0,1,0,0,Low,-14.72
115,44,DE,Retail,InApp,iOS,61616.0,758,8,8.01,29,25.79,0.5,0.242,0.054,0,0,0,0,0,0,1,0,0,Low,1.89
116,47,BE,SME,Web,Android,55685.0,313,16,2.17,22,151.4,0.44,0.318,0.042,2,0,0,0,0,0,1,0,0,Low,17.55
117,19,NL,Retail,InApp,Web,57732.0,1167,12,8.92,23,19.71,0.111,0.134,0.072,0,0,0,0,0,0,1,0,1,Low,-4.2
118,25,ES,Retail,InApp,iOS,38815.0,175,10,5.07,17,17.15,0.537,0.205,0.039,0,1,0,0,0,1,1,0,0,Medium,-20.19
119,30,ES,Retail,InApp,Web,67702.0,546,9,8.22,18,9.13,0.376,0.013,0.105,2,1,0,1,0,0,0,0,0,Medium,-48.53
120,23,IT,SME,Partner,iOS,55547.0,801,7,3.8,27,39.58,0.676,0.384,0.046,0,0,0,0,0,0,0,0,1,Low,2.65
121,40,ES,Retail,Web,iOS,,1296,11,8.18,14,18.82,0.119,0.202,0.067,1,0,0,0,0,0,1,0,0,Low,-19.76
122,52,IT,Retail,Web,iOS,46213.0,1464,14,,18,17.45,0.5,0.168,0.04,2,0,0,0,0,0,0,0,0,Low,-5.17
123,52,DE,Retail,Web,Android,39812.0,1228,11,10.66,19,10.99,0.258,0.061,0.083,1,0,0,0,0,0,1,0,0,Medium,-16.65
124,42,IT,Retail,InApp,Android,42836.0,730,6,10.04,18,33.77,0.107,,0.048,0,1,0,0,0,0,1,0,0,Low,-5.71
125,62,FR,Retail,Partner,Web,,133,10,,13,27.05,0.359,0.03,0.136,3,0,0,0,0,0,1,0,0,Medium,-50.0
126,47,BE,Retail,InApp,Android,48105.0,1201,9,9.42,18,22.12,0.262,0.238,0.078,1,0,0,0,0,0,1,0,0,Low,-19.42
127,22,FR,SME,InApp,,69840.0,1286,15,6.69,29,22.03,0.449,0.054,0.098,1,0,0,0,0,0,1,0,0,Low,-23.06
128,57,DE,SME,InApp,Web,22717.0,712,17,7.92,26,27.92,0.713,0.152,,1,0,0,0,0,0,0,1,1,Low,-17.26
129,47,DE,Retail,InApp,Web,60278.0,834,8,9.74,21,19.51,0.258,0.459,0.152,2,1,0,0,0,0,1,0,0,High,-50.0
130,51,DE,SME,Web,Android,,1276,10,2.74,26,18.01,0.344,0.051,0.082,1,1,0,0,0,0,1,0,0,Medium,-28.74
131,47,NL,Retail,InApp,Android,62315.0,204,6,1.54,23,20.06,0.104,0.435,0.037,0,0,0,0,0,0,0,0,0,Low,5.8
132,46,BE,Retail,Web,,36665.0,1220,12,8.44,19,36.33,0.279,0.439,0.221,2,0,0,0,0,0,0,0,0,Low,-50.0
133,22,ES,SME,Partner,iOS,,772,15,13.92,30,155.67,0.277,0.179,0.09,2,0,0,0,0,0,1,0,1,Low,21.48
134,47,FR,Retail,InApp,Web,39458.0,1031,14,10.85,29,16.32,0.478,0.24,,1,0,0,0,0,0,0,0,0,Low,-40.62
135,59,FR,Retail,InApp,Web,14311.0,291,10,6.62,16,12.71,0.472,0.19,0.136,1,0,0,0,0,0,0,0,0,Medium,-42.25
136,33,BE,Retail,Web,Android,,925,5,10.51,15,66.1,0.151,0.042,0.069,1,0,0,0,0,0,1,0,0,Low,-1.65
137,49,BE,Retail,InApp,iOS,26916.0,407,19,6.67,26,19.25,0.134,,0.05,0,0,0,0,0,0,1,0,0,Low,-0.08
138,19,NL,SME,,iOS,43342.0,780,17,5.12,27,53.38,0.317,0.092,0.039,2,0,1,0,0,0,1,0,1,Low,9.27
139,36,ES,Retail,InApp,Web,25161.0,790,10,3.64,15,29.23,0.531,0.135,0.033,1,0,0,0,0,0,1,1,0,Low,19.75
140,40,NL,Retail,InApp,Web,,1435,12,7.15,16,20.61,0.474,0.216,,0,0,0,0,0,0,1,0,0,Low,-0.76
141,69,UK,Retail,InApp,Android,38721.0,1007,9,,14,14.29,0.541,0.159,0.039,3,1,0,0,0,0,0,0,0,Low,-17.27
142,29,UK,SME,InApp,Web,32504.0,839,11,10.12,18,33.67,0.347,0.264,0.083,1,0,0,0,0,1,1,0,0,Medium,-24.19
143,32,FR,Retail,InApp,Android,23299.0,607,13,2.88,17,32.18,0.327,0.296,0.034,1,0,0,0,0,1,1,1,0,Medium,50.22
144,39,ES,Retail,InApp,Web,41433.0,510,7,9.52,17,19.15,0.703,0.153,0.272,0,0,0,0,0,0,1,0,0,Medium,-50.0
145,69,DE,Retail,InApp,iOS,,980,5,4.98,19,35.11,0.283,0.236,0.082,1,0,0,0,0,0,1,0,0,Medium,-29.08
146,62,ES,Retail,Web,,44008.0,1324,8,8.08,20,35.73,0.395,0.233,0.047,0,0,0,0,0,0,1,0,0,Low,-2.01
147,19,UK,Retail,InApp,Android,39963.0,861,8,5.54,14,55.87,0.227,0.219,0.007,0,0,0,0,0,0,1,1,0,Low,52.55
148,30,ES,Retail,InApp,iOS,8000.0,992,7,10.42,20,22.29,0.365,0.29,0.087,2,0,0,0,0,1,1,0,0,Medium,-36.75
149,60,UK,Retail,InApp,Android,33630.0,496,9,6.74,27,8.81,0.472,,0.03,1,0,0,0,0,1,1,0,0,Medium,-11.72
150,21,ES,Retail,InApp,Android,49495.0,840,5,9.81,19,16.62,0.556,0.284,0.154,0,0,0,0,0,1,1,0,0,Medium,-46.95
151,62,IT,SME,InApp,iOS,24983.0,860,15,8.3,28,14.85,0.157,0.312,0.1,1,0,0,0,0,1,1,0,0,Medium,-30.2
152,32,BE,Retail,Web,Android,50189.0,1025,10,10.37,15,13.68,0.372,0.107,0.093,2,0,0,0,0,0,0,0,0,Low,-37.67
153,65,ES,Retail,InApp,,48923.0,479,11,6.02,16,27.76,0.389,0.056,0.06,0,0,0,0,0,0,1,0,0,Low,-7.15
154,33,UK,Retail,Web,Android,,527,3,11.82,16,51.38,0.145,0.41,0.036,0,0,0,0,0,0,1,0,0,Low,14.23
155,40,BE,Retail,InApp,iOS,41803.0,543,4,5.97,15,15.74,0.162,0.122,0.119,1,1,1,0,0,0,1,0,0,High,-50.0
156,52,IT,Retail,,Android,,635,11,,21,30.23,0.213,,0.051,0,0,0,0,0,0,0,1,0,Low,36.85
157,24,DE,SME,InApp,Android,27977.0,442,9,,26,29.19,0.026,0.175,0.069,1,0,0,0,0,0,1,0,0,Low,-12.75
158,46,FR,Retail,Web,iOS,38707.0,299,13,9.76,21,20.63,0.235,0.066,0.069,2,0,0,0,0,0,1,0,0,Low,-21.87
159,44,NL,Retail,Partner,iOS,,753,6,11.93,18,27.6,0.5,0.402,0.045,1,1,0,0,0,1,0,0,0,Medium,-14.34
160,58,DE,Retail,InApp,iOS,28278.0,1283,7,7.36,14,31.57,0.039,0.09,0.088,0,0,0,0,0,0,0,0,0,Low,-30.75
161,69,ES,Retail,Partner,iOS,49347.0,54,4,10.41,21,22.7,0.581,0.106,0.038,2,0,1,0,0,0,1,1,0,Low,28.46
162,52,DE,Enterprise,InApp,iOS,24733.0,1000,16,,43,66.91,0.239,0.152,0.011,0,0,0,0,0,0,1,0,0,Low,43.5
163,39,DE,Retail,InApp,iOS,39425.0,1226,5,8.37,19,37.49,0.432,0.045,0.012,0,0,0,0,0,0,0,1,0,Low,18.17
164,39,DE,SME,Web,Android,,1237,17,12.39,15,24.81,0.383,,0.089,0,0,0,0,0,0,0,1,0,Medium,-4.1
165,39,BE,Retail,InApp,iOS,8000.0,1280,11,7.77,16,27.21,0.589,0.526,0.12,1,0,0,0,0,1,1,1,0,Medium,30.53
166,60,ES,Retail,InApp,iOS,33451.0,480,9,8.67,7,39.63,0.256,0.057,0.068,0,0,0,0,0,0,1,0,0,Low,-20.91
167,34,IT,Retail,InApp,iOS,48869.0,157,15,10.85,12,16.28,0.353,0.045,0.009,0,0,0,0,0,0,1,0,0,Low,1.68
168,26,NL,Retail,,,45614.0,1493,8,5.94,17,15.74,0.044,0.258,0.151,1,0,0,0,0,0,1,0,0,Low,-43.85
169,35,FR,Retail,InApp,Android,33642.0,1052,8,13.81,20,17.16,0.093,0.227,0.102,2,0,0,0,0,0,1,0,0,Medium,-37.63
170,19,BE,Retail,Web,Android,24327.0,540,11,6.79,25,55.78,0.26,0.347,0.018,1,0,0,0,0,0,1,0,0,Low,13.34
171,23,FR,Enterprise,InApp,Android,,1279,13,8.62,43,546.71,0.274,0.056,0.025,0,0,0,0,0,0,1,1,0,Low,137.39
172,22,BE,Retail,Partner,Android,36841.0,535,11,2.66,20,40.39,0.06,0.049,0.052,0,2,0,0,0,0,1,0,0,Low,-16.5
173,58,DE,SME,InApp,iOS,50726.0,1125,13,10.83,35,149.6,0.523,0.337,0.086,1,0,0,0,0,1,1,0,0,High,6.4
174,55,BE,Retail,Web,iOS,48084.0,1441,6,8.4,16,26.94,0.173,0.08,0.027,1,0,0,0,0,0,1,0,0,Low,-2.83
175,54,FR,Retail,InApp,Android,34841.0,1153,7,7.12,18,94.28,0.179,0.177,0.174,1,0,0,0,0,0,1,0,0,Low,-25.11
176,42,BE,Retail,InApp,iOS,59161.0,985,8,4.58,23,14.05,0.14,0.63,0.026,1,0,0,0,0,0,0,0,0,Low,2.77
177,55,BE,Retail,InApp,Android,32492.0,292,3,13.44,22,20.73,0.817,0.279,0.012,0,0,0,0,0,0,0,1,0,Low,59.48
178,26,ES,Enterprise,Web,Android,61047.0,1400,23,9.12,41,169.48,0.195,0.046,0.074,0,0,0,0,0,0,1,0,0,Low,27.98
179,64,UK,SME,InApp,Android,63141.0,642,13,12.68,21,25.38,0.536,0.146,0.013,0,0,0,0,0,0,1,1,0,Low,48.5
180,44,DE,Enterprise,InApp,Android,58802.0,937,10,8.4,49,213.32,0.693,0.018,0.007,2,0,0,0,0,0,0,1,0,Low,93.74
181,66,ES,Enterprise,,Web,39111.0,920,16,8.48,41,20.67,0.542,0.427,0.202,0,1,0,0,0,0,1,1,0,Medium,90.48
182,25,ES,Retail,InApp,Android,82753.0,374,11,8.39,20,92.41,0.524,0.041,0.073,0,0,0,0,0,0,1,0,1,Low,1.02
183,43,NL,Retail,InApp,Android,44430.0,907,11,5.72,20,35.6,0.63,0.234,0.051,0,0,0,0,0,0,0,1,0,Low,44.14
184,54,FR,SME,InApp,Web,,590,14,6.14,21,80.04,0.491,0.166,0.091,2,0,0,0,0,0,1,0,0,Medium,-6.8
